time,amount of request,throughput
0,2459,2459.0
1,3399,2929.0
2,3353,3070.3333333333335
3,3307,3129.5
4,3345,3172.6
5,3275,3189.6666666666665
6,3321,3208.4285714285716
7,3341,3225.0
8,3322,3235.777777777778
9,3326,3244.8
10,3253,3245.5454545454545
11,3240,3245.0833333333335
12,3382,3255.6153846153848
13,3337,3261.4285714285716
14,3344,3266.9333333333334
15,3300,3269.0
16,3274,3269.294117647059
17,3392,3276.1111111111113
18,3305,3277.6315789473683
19,3324,3279.95
20,3325,3282.095238095238
21,2604,3251.2727272727275
22,3213,3249.608695652174
23,3438,3257.4583333333335
24,3322,3260.04
25,3324,3262.5
26,3329,3264.962962962963
27,3334,3267.4285714285716
28,3322,3269.310344827586
29,2992,3260.0666666666666
30,2967,3250.6129032258063
31,3011,3243.125
32,2835,3230.757575757576
33,3084,3226.4411764705883
34,2993,3219.7714285714287
35,2993,3213.472222222222
36,2983,3207.2432432432433
37,2942,3200.2631578947367
38,2887,3192.230769230769
39,2826,3183.075
40,3030,3179.3414634146343
41,2958,3174.0714285714284
42,2869,3166.9767441860463
43,3017,3163.568181818182
44,2926,3158.288888888889
45,3017,3155.217391304348
46,3135,3154.7872340425533
47,3257,3156.9166666666665
48,3332,3160.4897959183672
49,3297,3163.22
50,3316,3166.2156862745096
51,3126,3165.4423076923076
52,3466,3171.1132075471696
53,3329,3174.037037037037
54,3221,3174.890909090909
55,3261,3176.4285714285716
56,3313,3178.8245614035086
57,3240,3179.8793103448274
58,3364,3183.0
59,3178,3182.9166666666665
60,3413,3186.688524590164
61,3327,3188.951612903226
62,3228,3189.5714285714284
63,3347,3192.03125
64,3129,3191.0615384615385
65,3423,3194.5757575757575
66,3332,3196.626865671642
67,3229,3197.1029411764707
68,3387,3199.855072463768
69,3336,3201.8
70,3231,3202.211267605634
71,3308,3203.6805555555557
72,3202,3203.6575342465753
73,3382,3206.0675675675675
74,3326,3207.6666666666665
75,3307,3208.9736842105262
76,3336,3210.6233766233768
77,3091,3209.0897435897436
78,3419,3211.746835443038
79,3325,3213.1625
80,3230,3213.3703703703704
81,3328,3214.768292682927
82,3332,3216.1807228915663
83,3174,3215.6785714285716
84,3328,3217.0
85,3219,3217.0232558139537
86,3363,3218.7011494252874
87,3349,3220.181818181818
88,3173,3219.6516853932585
89,3340,3220.988888888889
90,3206,3220.8241758241757
91,3404,3222.8152173913045
92,3333,3224.0
93,3125,3222.946808510638
94,3430,3225.1263157894737
95,3305,3225.9583333333335
96,3195,3225.639175257732
97,3335,3226.7551020408164
98,3168,3226.161616161616
99,3353,3227.43
100,3331,3228.4554455445545
101,3214,3228.3137254901962
102,3257,3228.5922330097087
103,3170,3228.028846153846
104,3391,3229.5809523809526
105,3257,3229.8396226415093
106,3209,3229.644859813084
107,3332,3230.5925925925926
108,3124,3229.6146788990827
109,3256,3229.8545454545456
110,3210,3229.675675675676
111,2879,3226.5446428571427
112,3404,3228.1150442477874
113,3317,3228.8947368421054
114,3207,3228.704347826087
115,3256,3228.939655172414
116,3267,3229.264957264957
117,3181,3228.85593220339
118,3265,3229.159663865546
119,3290,3229.6666666666665
120,3085,3228.471074380165
121,3311,3229.1475409836066
122,3200,3228.910569105691
123,3300,3229.483870967742
124,3154,3228.88
125,3358,3229.904761904762
126,3301,3230.464566929134
127,3185,3230.109375
128,3334,3230.9147286821703
129,3322,3231.6153846153848
130,3143,3230.93893129771
131,3335,3231.7272727272725
132,2685,3227.6165413533836
133,3170,3227.186567164179
134,3172,3226.777777777778
135,3061,3225.5588235294117
136,3231,3225.598540145985
137,3400,3226.8623188405795
138,3214,3226.7697841726617
139,3323,3227.457142857143
140,3127,3226.744680851064
141,3396,3227.93661971831
142,3324,3228.6083916083917
143,2817,3225.75
144,3420,3227.0896551724136
145,3339,3227.8561643835615
146,3270,3228.1428571428573
147,3345,3228.9324324324325
148,3231,3228.9463087248323
149,3323,3229.5733333333333
150,3295,3230.0066225165565
151,3234,3230.032894736842
152,3312,3230.5686274509803
153,3129,3229.909090909091
154,2535,3225.425806451613
155,59,3205.128205128205
